,Movie,Genre,Year,Length (Minutes),Rating,Metascore,votes,Gross(Millions)
675,Letters from Iwo Jima,"Action, Adventure, Drama",2006,141,7.9,89.0,163893,13.76
676,Castle in the Sky,"Animation, Adventure, Family",1986,125,8.0,78.0,167750,
677,Infernal Affairs,"Action, Crime, Drama",2002,101,8.0,75.0,125625,0.17
678,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",1999,81,7.7,73.0,206033,52.04
679,The Thin Man,"Comedy, Crime, Mystery",1934,91,7.9,86.0,30362,
680,Paper Moon,"Comedy, Crime, Drama",1973,102,8.1,77.0,48426,30.93
681,Mirror,"Biography, Drama",1975,107,8.0,80.0,47586,0.18
682,Beasts of No Nation,"Drama, War",2015,137,7.7,79.0,82316,0.08
683,PK,"Comedy, Drama, Sci-Fi",2014,153,8.1,,189134,10.62
684,It Happened One Night,"Comedy, Romance",1934,105,8.1,87.0,104947,
685,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",1962,134,8.0,75.0,57316,4.05
686,Me and Earl and the Dying Girl,"Comedy, Drama, Romance",2015,105,7.7,74.0,132883,6.74
687,The Legend of 1900,"Drama, Music, Romance",1998,169,8.0,58.0,65096,0.26
688,Tokyo Story,Drama,1953,136,8.2,,62497,
689,In the Heat of the Night,"Drama, Mystery, Thriller",1967,110,7.9,75.0,77222,24.38
690,Andhadhun,"Comedy, Crime, Music",2018,139,8.2,,94380,1.37
691,Wolfwalkers,"Animation, Adventure, Family",2020,103,8.0,87.0,32979,
692,Modern Times,"Comedy, Drama, Romance",1936,87,8.5,96.0,243395,
693,Uri: The Surgical Strike,"Action, Drama, History",2019,138,8.2,,64775,4.19
694,Fantastic Planet,"Animation, Sci-Fi",1973,72,7.7,73.0,32269,0.19
695,Baahubali 2: The Conclusion,"Action, Drama",2017,167,8.2,,102536,20.19
696,Dial M for Murder,"Crime, Thriller",1954,105,8.2,75.0,177099,
697,Three Colors: Red,"Drama, Mystery, Romance",1994,99,8.1,100.0,104130,4.04
698,Breathless,"Crime, Drama",1960,90,7.7,,82806,0.34
699,The Longest Day,"Action, Drama, History",1962,178,7.7,75.0,56517,39.1
700,Badlands,"Action, Crime, Drama",1973,94,7.7,93.0,73852,
701,The Hustler,"Drama, Sport",1961,134,8.0,90.0,82739,8.28
702,Patton,"Biography, Drama, War",1970,172,7.9,91.0,103038,61.7
703,The Philadelphia Story,"Comedy, Romance",1940,112,7.9,96.0,70024,
704,A Very Long Engagement,"Drama, Mystery, Romance",2004,133,7.6,76.0,74242,6.17
705,Freaks,"Drama, Horror",1932,64,7.8,80.0,47212,0.63
706,The Man Who Would Be King,"Adventure, War",1975,129,7.8,91.0,49574,
707,Days of Heaven,"Drama, Romance",1978,94,7.8,93.0,58920,
708,The Manchurian Candidate,"Drama, Thriller",1962,126,7.9,94.0,76310,
709,Judgment at Nuremberg,"Drama, War",1961,179,8.3,60.0,78367,
710,The African Queen,"Adventure, Drama, Romance",1951,105,7.7,91.0,79599,0.54
711,Bicycle Thieves,Drama,1948,89,8.3,,164546,
712,Fantasia,"Animation, Family, Fantasy",1940,125,7.7,96.0,97636,76.41
713,Open Your Eyes,"Drama, Mystery, Sci-Fi",1997,119,7.7,,69976,0.37
714,Talk to Her,"Drama, Mystery, Romance",2002,112,7.9,86.0,113331,9.28
715,Loving Vincent,"Animation, Biography, Crime",2017,94,7.8,62.0,58739,6.74
716,The Day the Earth Stood Still,"Drama, Sci-Fi",1951,92,7.8,,82597,
717,Rope,"Crime, Drama, Mystery",1948,80,7.9,73.0,144927,
718,Whisper of the Heart,"Animation, Drama, Family",1995,111,7.9,75.0,63708,
719,Manhattan,"Comedy, Drama, Romance",1979,96,7.9,83.0,141223,45.7
720,Perfect Strangers,"Comedy, Drama",2016,96,7.7,,66134,
721,Gangs of Wasseypur,"Action, Comedy, Crime",2012,321,8.2,89.0,97084,
722,Neon Genesis Evangelion: The End of Evangelion,"Animation, Action, Drama",1997,87,8.0,,55829,
723,Breaking the Waves,Drama,1996,159,7.8,76.0,67778,4.04
724,The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller",1920,67,8.0,,64882,
725,Amour,Drama,2012,127,7.9,94.0,101258,6.74
726,The Raid 2,"Action, Crime, Thriller",2014,150,7.9,71.0,124262,2.63
727,The Killing,"Crime, Drama, Film-Noir",1956,84,8.0,91.0,90800,
728,Kaithi,"Action, Adventure, Crime",2019,145,8.5,,32889,
729,Short Cuts,"Comedy, Drama",1993,188,7.7,81.0,45400,6.11
730,Good Bye Lenin!,"Comedy, Drama, Romance",2003,121,7.7,68.0,147178,4.06
731,The 400 Blows,"Crime, Drama",1959,99,8.1,,119048,
732,Nebraska,"Adventure, Comedy, Drama",2013,115,7.7,86.0,119056,17.65
733,The Leopard,"Drama, History",1963,186,8.0,100.0,26456,
734,Miracle in Cell No. 7,Drama,2019,132,8.2,,49503,
735,The Little Prince,"Animation, Adventure, Drama",2015,108,7.7,70.0,62842,1.34
736,Yojimbo,"Action, Drama, Thriller",1961,110,8.2,93.0,123816,
737,K.G.F: Chapter 1,"Action, Crime, Drama",2018,156,8.2,,87510,
738,The Chaser,"Action, Crime, Drama",2008,125,7.8,64.0,67352,
739,City Lights,"Comedy, Drama, Romance",1931,87,8.5,99.0,185571,
740,Wild Strawberries,"Drama, Romance",1957,91,8.1,88.0,108244,
741,United 93,"Action, Drama, History",2006,111,7.6,90.0,107217,31.57
742,Who's Afraid of Virginia Woolf?,Drama,1966,131,8.0,75.0,76085,
743,Dangal,"Action, Biography, Drama",2016,161,8.3,,192159,
744,High and Low,"Crime, Drama, Mystery",1963,143,8.4,90.0,45643,
745,Strangers on a Train,"Crime, Drama, Film-Noir",1951,101,7.9,88.0,134900,7.63
746,The Treasure of the Sierra Madre,"Adventure, Drama, Western",1948,126,8.2,98.0,125830,
747,In Cold Blood,"Biography, Crime, Drama",1967,134,7.9,89.0,27006,
748,Notorious,"Drama, Film-Noir, Romance",1946,102,7.9,100.0,102044,10.46
749,Philomena,"Biography, Comedy, Drama",2013,98,7.6,77.0,100768,37.71
750,Mr. Smith Goes to Washington,"Comedy, Drama",1939,129,8.1,73.0,116455,
751,Bajrangi Bhaijaan,"Action, Adventure, Comedy",2015,163,8.1,,89157,8.18
752,Cat on a Hot Tin Roof,Drama,1958,108,7.9,84.0,50246,17.57
753,The Double Life of Véronique,"Drama, Fantasy, Music",1991,98,7.7,86.0,49445,2.0
754,Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",1956,80,7.7,92.0,50915,
755,Song of the Sea,"Animation, Adventure, Drama",2014,93,8.0,85.0,59090,0.86
756,The White Ribbon,"Drama, Mystery, Thriller",2009,144,7.8,82.0,74323,2.22
757,Andrei Rublev,"Biography, Drama, History",1966,205,8.1,,54203,0.1
758,A Woman Under the Influence,"Drama, Romance",1974,155,8.1,88.0,25792,13.34
759,Happy Together,"Drama, Romance",1997,96,7.7,70.0,30271,0.19
760,Fitzcarraldo,"Adventure, Drama",1982,158,8.0,,35650,
761,Z,"Crime, Drama, Thriller",1969,127,8.2,86.0,29260,0.08
762,Harvey,"Comedy, Drama, Fantasy",1950,104,7.9,,56072,
763,Control,"Biography, Drama, Music",2007,122,7.6,78.0,65984,0.87
764,Waking Life,"Animation, Drama, Fantasy",2001,99,7.7,83.0,64720,2.89
765,East of Eden,Drama,1955,118,7.8,72.0,46108,
766,Land of Mine,"Drama, History, War",2015,100,7.8,75.0,41973,0.44
767,Secrets & Lies,"Comedy, Drama",1996,136,8.0,91.0,43969,13.42
768,Zindagi Na Milegi Dobara,"Comedy, Drama, Musical",2011,155,8.2,,79342,3.11
769,The Conformist,Drama,1970,113,7.9,100.0,31094,0.54
770,To Have and Have Not,"Adventure, Comedy, Film-Noir",1944,100,7.8,90.0,35419,
771,Short Term 12,Drama,2013,96,7.9,82.0,88464,1.01
772,Elite Squad,"Action, Crime, Drama",2007,115,8.0,33.0,104957,0.01
773,Out of the Past,"Crime, Drama, Film-Noir",1947,97,8.0,85.0,38010,
774,The 39 Steps,"Crime, Mystery, Thriller",1935,86,7.6,93.0,57832,
775,All About My Mother,Drama,1999,101,7.8,87.0,97799,8.26
776,The Day of the Jackal,"Crime, Drama, Thriller",1973,143,7.8,80.0,41635,16.06
777,Porco Rosso,"Animation, Adventure, Comedy",1992,94,7.7,83.0,90921,
778,Arsenic and Old Lace,"Comedy, Crime, Thriller",1944,118,7.9,,71639,
779,The Vanishing,"Mystery, Thriller",1988,107,7.7,,39860,
780,Hannah and Her Sisters,"Comedy, Drama",1986,107,7.9,90.0,72289,40.08
781,The Kid,"Comedy, Drama, Family",1921,68,8.3,,127257,
782,Children of Heaven,"Drama, Family, Sport",1997,89,8.2,77.0,75456,
783,His Girl Friday,"Comedy, Drama, Romance",1940,92,7.8,,59481,0.3
784,"Aguirre, the Wrath of God","Action, Adventure, Biography",1972,95,7.8,,57932,
785,Evil,Drama,2003,113,7.7,61.0,39254,0.02
786,Once Were Warriors,"Crime, Drama",1994,102,7.9,77.0,34787,2.2
787,Bringing Up Baby,Comedy,1938,102,7.8,91.0,62249,
788,Persepolis,"Animation, Biography, Drama",2007,96,8.0,90.0,95639,4.45
789,The Tale of The Princess Kaguya,"Animation, Drama, Family",2013,137,8.0,89.0,47588,1.51
790,A Man for All Seasons,"Biography, Drama, History",1966,120,7.7,72.0,35033,28.35
791,Red River,"Drama, Western",1948,133,7.8,,31793,
792,Lilya 4-Ever,"Crime, Drama",2002,109,7.8,82.0,46265,0.18
793,The Odd Couple,Comedy,1968,105,7.6,86.0,35462,44.53
794,Farewell My Concubine,"Drama, Music, Romance",1993,171,8.1,83.0,29644,5.22
795,"I, Daniel Blake",Drama,2016,100,7.8,78.0,60784,0.26
796,My Sassy Girl,"Comedy, Drama, Romance",2001,137,8.0,,48617,
797,The Diving Bell and the Butterfly,"Biography, Drama",2007,112,8.0,92.0,108138,5.99
798,Sunrise,"Drama, Romance",1927,94,8.1,95.0,51497,0.54
799,Underground,"Comedy, Drama, Fantasy",1995,167,8.1,79.0,58878,0.17
800,The Battle of Algiers,"Drama, War",1966,121,8.1,96.0,60871,
801,A Prophet,"Crime, Drama",2009,155,7.8,90.0,99164,2.08
802,Winter Sleep,Drama,2014,196,8.1,88.0,52126,0.17
803,Mildred Pierce,"Crime, Drama, Film-Noir",1945,111,7.9,88.0,26401,
804,The Message,"Biography, Drama, History",1976,177,8.1,,48159,
805,The Chorus,"Comedy, Drama, Music",2004,97,7.8,56.0,63076,3.64
806,The Motorcycle Diaries,"Adventure, Biography, Drama",2004,126,7.8,75.0,101972,16.78
807,Shershaah,"Action, Biography, Drama",2021,135,8.4,,121856,
808,The Adventures of Robin Hood,"Action, Adventure, Romance",1938,102,7.9,97.0,51655,3.98
809,To Be or Not to Be,"Comedy, Romance, War",1942,99,8.2,86.0,38060,
810,Repulsion,"Drama, Horror, Thriller",1965,105,7.6,91.0,54000,
811,The Lady Vanishes,"Mystery, Thriller",1938,96,7.8,98.0,53381,
812,The Wages of Fear,"Adventure, Drama, Thriller",1953,131,8.2,85.0,61907,
813,Cape Fear,"Drama, Thriller",1962,106,7.7,76.0,29771,
814,3-Iron,"Crime, Drama, Romance",2004,88,7.9,72.0,55716,0.24
815,Le Samouraï,"Crime, Drama",1967,101,8.0,,52332,0.04
816,Shadow of a Doubt,"Film-Noir, Thriller",1943,108,7.8,94.0,66390,
817,Dersu Uzala,"Adventure, Biography, Drama",1975,142,8.2,,30356,
818,Head-On,"Drama, Romance",2004,121,7.9,78.0,54771,
819,"Quo Vadis, Aida?","Drama, History, War",2020,101,8.0,97.0,34024,
820,My Name Is Khan,"Adventure, Drama, Romance",2010,165,7.9,50.0,107981,4.02
821,Stalag 17,"Comedy, Drama, War",1953,120,8.0,84.0,56339,
822,Batman: Mask of the Phantasm,"Animation, Action, Adventure",1993,76,7.8,65.0,51982,5.62
823,When Marnie Was There,"Animation, Drama, Family",2014,103,7.7,72.0,41475,0.77
824,The General,"Action, Adventure, Comedy",1926,67,8.2,,92289,
825,Kal Ho Naa Ho,"Comedy, Drama, Musical",2003,186,7.9,54.0,70162,1.79
826,Beauty and the Beast,"Drama, Fantasy, Romance",1946,93,7.9,92.0,26810,0.3
827,The Sacrifice,Drama,1986,149,7.9,,28759,0.3
828,The Broken Circle Breakdown,"Drama, Music, Romance",2012,111,7.7,70.0,41526,0.18
829,The Passion of Joan of Arc,"Biography, Drama, History",1928,114,8.2,,55600,
830,Night on Earth,"Comedy, Drama",1991,129,7.7,68.0,61403,2.02
831,Scarface,"Action, Crime, Drama",1932,93,7.7,87.0,28461,
832,Hard Boiled,"Action, Crime, Thriller",1992,128,7.7,,51169,
833,The Invisible Man,"Horror, Sci-Fi",1933,71,7.6,87.0,36421,
834,You Can't Take It with You,"Comedy, Drama, Romance",1938,126,7.8,,26213,4.66
835,Leviathan,"Crime, Drama",2014,140,7.6,92.0,54086,1.09
836,Sardar Udham,"Biography, Crime, Drama",2021,164,8.4,,42715,
837,Ayla: The Daughter of War,"Biography, Drama, History",2017,125,8.3,,40328,
838,Ninja Scroll,"Animation, Action, Adventure",1993,94,7.8,,37995,
839,Shine,"Biography, Drama, Music",1996,105,7.6,87.0,54658,35.81
840,Sweet Smell of Success,"Drama, Film-Noir",1957,96,8.0,100.0,32842,
841,Laura,"Drama, Film-Noir, Mystery",1944,88,7.9,,48063,4.36
842,Pather Panchali,Drama,1955,125,8.3,,33587,
843,Dilwale Dulhania Le Jayenge,"Drama, Romance",1995,181,8.0,,70469,
844,Joint Security Area,"Action, Drama, Thriller",2000,110,7.8,58.0,31049,
845,Hedwig and the Angry Inch,"Comedy, Drama, Music",2001,95,7.7,85.0,36052,3.03
846,Sleuth,"Mystery, Thriller",1972,138,8.0,,48139,4.08
847,Nostalghia,Drama,1983,125,8.0,,27581,0.01
848,Lagaan: Once Upon a Time in India,"Drama, Musical, Sport",2001,224,8.1,84.0,115222,0.07
849,Swades,"Drama, Musical",2004,189,8.2,,91428,1.22
850,Cowboy Bebop: The Movie,"Animation, Action, Crime",2001,115,7.8,61.0,49473,1.0
851,Eyes Without a Face,"Drama, Horror",1960,90,7.6,90.0,32390,0.05
852,The Experiment,"Drama, Thriller",2001,120,7.7,60.0,94283,0.14
853,The Discreet Charm of the Bourgeoisie,Comedy,1972,102,7.8,93.0,43674,0.2
854,The Rules of the Game,"Comedy, Drama",1939,110,7.9,98.0,29482,
855,The Hidden Fortress,"Action, Adventure, Drama",1958,126,8.1,89.0,39604,
856,Vivre Sa Vie,Drama,1962,85,7.9,,32641,
857,Key Largo,"Action, Crime, Drama",1948,100,7.7,,41568,
858,Brief Encounter,"Drama, Romance",1945,86,8.0,92.0,40742,
859,Frost/Nixon,"Biography, Drama, History",2008,122,7.7,80.0,108899,18.59
860,The Asphalt Jungle,"Crime, Drama, Film-Noir",1950,112,7.8,85.0,27813,
861,The Sea Inside,"Biography, Drama",2004,126,8.0,74.0,82355,2.09
862,The Umbrellas of Cherbourg,"Drama, Musical, Romance",1964,91,7.8,86.0,28221,0.03
863,Cries & Whispers,Drama,1972,91,8.0,,34655,1.74
864,Nobody Knows,Drama,2004,141,8.0,88.0,28556,0.68
865,The Postman,"Biography, Comedy, Drama",1994,108,7.8,81.0,36970,21.85
866,Drishyam,"Crime, Drama, Thriller",2013,160,8.3,,41894,
867,Raise the Red Lantern,"Drama, Romance",1991,125,8.1,,33180,2.6
868,Taste of Cherry,Drama,1997,95,7.7,80.0,31828,0.31
869,Kagemusha,"Drama, History, War",1980,162,7.9,84.0,36088,
870,The Big Heat,"Crime, Film-Noir, Thriller",1953,89,7.9,,27161,
871,Wolf Children,"Animation, Drama, Family",2012,117,8.1,71.0,45499,
872,The Breadwinner,"Animation, Drama, Family",2017,94,7.7,78.0,26019,0.31
873,Confessions,"Drama, Thriller",2010,106,7.7,,39697,
874,Battleship Potemkin,"Drama, History, Thriller",1925,66,7.9,97.0,58405,0.05
875,Gully Boy,"Drama, Music, Romance",2019,154,7.9,65.0,40256,5.57
876,Wait Until Dark,Thriller,1967,108,7.7,81.0,31344,17.55
877,Super 30,"Biography, Drama",2019,154,7.9,,32985,2.27
878,Duck Soup,"Comedy, Musical",1933,69,7.8,93.0,60555,
879,I Remember,"Comedy, Drama",1973,123,7.9,,44142,0.58
880,"Spring, Summer, Fall, Winter... and Spring","Drama, Romance",2003,103,8.0,85.0,83644,2.38
881,Throne of Blood,"Drama, History",1957,110,8.1,,52759,
882,Down by Law,"Comedy, Crime, Drama",1986,107,7.7,75.0,52239,1.44
883,The Salesman,"Drama, Thriller",2016,124,7.7,85.0,61123,2.4
884,The Caine Mutiny,"Drama, War",1954,124,7.7,63.0,28142,21.75
885,My Father and My Son,"Drama, Family",2005,112,8.2,,87303,
886,A Wednesday,"Action, Crime, Drama",2008,104,8.1,,79191,
887,Adam's Apples,"Comedy, Crime, Drama",2005,94,7.7,51.0,51359,0.0
888,In America,Drama,2002,105,7.7,76.0,43410,15.54
889,The Killer,"Action, Crime, Drama",1989,111,7.8,82.0,48919,
890,The Gold Rush,"Adventure, Comedy, Drama",1925,95,8.2,,112223,
891,Ace in the Hole,"Drama, Film-Noir",1951,111,8.1,72.0,36538,3.97
892,The Lunchbox,"Drama, Romance",2013,104,7.8,76.0,56917,4.23
893,Autumn Sonata,"Drama, Music",1978,99,8.1,,34917,
894,Sullivan's Travels,"Adventure, Comedy, Drama",1941,90,7.9,,26790,
895,Veer Zaara,"Drama, Family, Musical",2004,192,7.8,67.0,53817,2.92
896,"Black Cat, White Cat","Comedy, Crime, Romance",1998,127,8.0,73.0,54374,0.35
897,"4 Months, 3 Weeks and 2 Days",Drama,2007,113,7.9,97.0,60844,1.19
898,"Goodbye, Children","Drama, War",1987,104,8.0,88.0,34338,4.54
899,The Exterminating Angel,"Drama, Fantasy",1962,95,8.0,,33644,
900,Nine Queens,"Crime, Drama, Thriller",2000,114,7.9,80.0,53611,1.22
901,Hiroshima Mon Amour,"Drama, Romance",1959,90,7.9,,32862,0.09
902,The Triplets of Belleville,"Animation, Adventure, Comedy",2003,80,7.7,91.0,54935,7.0
903,Diabolique,"Crime, Drama, Horror",1955,117,8.1,,66470,1.09
904,La strada,Drama,1954,108,8.0,,63743,
905,Time of the Gypsies,"Comedy, Crime, Drama",1988,142,8.1,,31132,0.28
906,The Virgin Spring,Drama,1960,89,8.1,,29736,1.53
907,Jules and Jim,"Drama, Romance",1962,105,7.7,97.0,42160,
908,In a Lonely Place,"Drama, Film-Noir, Mystery",1950,94,7.9,,32211,
909,Celda 211,"Action, Crime, Drama",2009,113,7.6,,68254,
910,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",2016,184,7.9,,59894,1.78
911,Sherlock Jr.,"Action, Comedy, Romance",1924,45,8.2,,50801,
912,Crimes and Misdemeanors,"Comedy, Drama",1989,104,7.8,77.0,58560,18.25
913,White Heat,"Action, Crime, Drama",1949,114,8.1,,33471,
914,Elevator to the Gallows,"Crime, Drama, Thriller",1958,91,7.9,94.0,26274,0.11
915,Article 15,"Crime, Drama, Mystery",2019,130,8.1,,34201,
916,Nights of Cabiria,Drama,1957,110,8.1,,49557,0.75
917,The Innocents,Horror,1961,100,7.8,88.0,31044,2.62
918,Departures,Drama,2008,130,8.0,68.0,52577,1.5
919,Once Upon a Time in Anatolia,"Crime, Drama, Thriller",2011,157,7.8,82.0,46911,0.14
920,Soorarai Pottru,Drama,2020,153,8.7,,117080,
921,The Way He Looks,"Drama, Romance",2014,96,7.9,71.0,25849,0.1
922,The Lost Weekend,"Drama, Film-Noir",1945,101,7.9,,37724,9.46
923,Inherit the Wind,"Biography, Drama, History",1960,128,8.1,75.0,30633,
924,Pink,"Crime, Drama, Thriller",2016,136,8.1,,45649,1.24
925,Vikram Vedha,"Action, Crime, Drama",2017,147,8.3,,45797,
926,Raatchasan,"Crime, Drama, Mystery",2018,170,8.3,,45215,
927,The Magdalene Sisters,Drama,2002,114,7.7,83.0,27490,4.89
928,After the Wedding,Drama,2006,120,7.7,78.0,35098,0.41
929,My Life as a Zucchini,"Animation, Comedy, Drama",2016,70,7.7,85.0,26028,0.29
930,Through a Glass Darkly,Drama,1961,90,8.0,84.0,25733,
931,The Girl Who Leapt Through Time,"Animation, Adventure, Comedy",2006,98,7.7,,67031,
932,Dreams,"Drama, Fantasy",1990,119,7.7,,26919,1.96
933,Le Cercle Rouge,"Crime, Drama, Thriller",1970,140,7.9,91.0,25918,0.37
934,"Like Father, Like Son",Drama,2013,121,7.8,73.0,25515,0.28
935,Munna Bhai M.B.B.S.,"Comedy, Drama",2003,156,8.1,,82857,
936,No Man's Land,"Comedy, Drama, War",2001,98,7.9,84.0,47452,1.06
937,Let's Go! India,"Drama, Family, Sport",2007,153,8.1,68.0,81032,1.11
938,Ivan's Childhood,"Drama, War",1962,95,8.0,,37160,
939,Dil Chahta Hai,"Comedy, Drama, Romance",2001,183,8.1,,72814,0.3
940,Badhaai Ho,"Comedy, Drama",2018,124,7.9,,35173,
941,Kahaani,"Mystery, Thriller",2012,122,8.1,,63358,1.04
942,Jean de Florette,"Comedy, Drama",1986,120,8.1,,26202,4.94
943,Millennium Actress,"Animation, Drama, Fantasy",2001,87,7.8,70.0,28667,0.19
944,Masaan,Drama,2015,109,8.1,,28510,
945,Chhichhore,"Comedy, Drama, Romance",2019,143,8.3,,55241,0.9
946,Tae Guk Gi: The Brotherhood of War,"Action, Drama, War",2004,140,8.0,64.0,40010,1.11
947,About Elly,"Drama, Mystery",2009,119,7.9,87.0,54003,0.11
948,The Grand Illusion,"Drama, War",1937,113,8.1,,37094,0.17
949,Kind Hearts and Coronets,"Comedy, Crime",1949,106,8.0,,37770,
950,English Vinglish,"Comedy, Drama, Family",2012,134,7.8,,36951,1.67
951,The Purple Rose of Cairo,"Comedy, Fantasy, Romance",1985,82,7.7,75.0,52224,10.63
952,Queen,"Adventure, Comedy, Drama",2013,146,8.1,,66255,1.43
953,Love and Death,"Comedy, War",1975,85,7.7,89.0,38999,
954,Central Station,Drama,1998,110,8.0,80.0,40104,5.6
955,Barfi!,"Comedy, Drama, Romance",2012,151,8.1,,82692,2.8
956,Knockin' on Heaven's Door,"Action, Crime, Comedy",1997,87,7.9,,31096,0.0
957,Fireworks,"Crime, Drama, Romance",1997,103,7.7,,31100,0.23
958,Rang De Basanti,"Comedy, Crime, Drama",2006,167,8.1,,119490,2.2
959,The Past,"Drama, Mystery",2013,130,7.7,85.0,49324,1.33
960,The Return,Drama,2003,110,7.9,82.0,45879,0.5
961,C.R.A.Z.Y.,"Comedy, Drama",2005,129,7.9,81.0,33137,
962,Sanjuro,"Action, Drama, Thriller",1962,96,8.0,,38687,
963,Elite Squad 2: The Enemy Within,"Action, Crime, Drama",2010,115,8.0,71.0,83667,0.1
964,Rififi,"Crime, Drama, Thriller",1955,118,8.1,97.0,34813,0.06
965,Sholay,"Action, Adventure, Comedy",1975,162,8.1,,56258,
966,Hindi Medium,"Comedy, Drama",2017,132,7.8,,29655,
967,Tangerines,"Drama, War",2013,87,8.1,73.0,46702,0.14
968,"Rome, Open City","Drama, Thriller, War",1945,103,8.0,,26985,
969,Haider,"Action, Crime, Drama",2014,160,8.0,,55401,0.9
970,Asuran,"Action, Drama",2019,141,8.4,,29973,
971,Dev.D,"Comedy, Drama, Romance",2009,144,7.9,,31003,0.01
972,Hera Pheri,"Action, Comedy, Crime",2000,156,8.1,,67729,
973,Vicky Donor,"Comedy, Romance",2012,126,7.8,,43785,0.17
974,Sarfarosh,"Action, Drama, Thriller",1999,174,8.1,,25972,
975,The Circus,"Comedy, Family, Romance",1928,72,8.1,90.0,34181,
976,Zelig,Comedy,1983,79,7.7,,42490,11.8
977,Umberto D.,Drama,1952,89,8.2,92.0,26242,0.07
978,The Edge of Heaven,Drama,2007,122,7.7,85.0,32443,0.74
979,96,"Drama, Romance",2018,158,8.5,,31756,
980,Talvar,"Crime, Drama, Mystery",2015,132,8.1,,35849,0.34
981,Pad Man,"Biography, Comedy, Drama",2018,140,7.9,,26638,1.66
982,The Bandit,"Crime, Drama, Thriller",1996,128,8.1,,70368,
983,Jab We Met,"Comedy, Drama, Romance",2007,138,7.9,,53905,0.41
984,A Night at the Opera,"Comedy, Music, Musical",1935,96,7.8,,33254,2.54
985,"Carry On, Munna Bhai","Comedy, Drama, Romance",2006,144,8.0,,47575,2.22
986,Bhaag Milkha Bhaag,"Biography, Drama, Sport",2013,186,8.2,,68760,1.63
987,G.O.R.A.,"Adventure, Comedy, Sci-Fi",2004,127,8.0,,63425,
988,OMG: Oh My God!,"Comedy, Drama, Fantasy",2012,125,8.1,,59569,0.92
989,Everything's Gonna Be Great,"Comedy, Drama, Thriller",1998,107,8.1,,25842,
990,Vizontele,"Comedy, Drama",2001,110,8.0,,37066,
991,The Breath,"Action, Drama, Thriller",2009,128,8.0,,34023,
992,Baby,"Action, Crime, Thriller",2015,159,7.9,,58205,
993,Black,Drama,2005,122,8.1,,35196,0.73
994,Anand,"Drama, Musical",1971,122,8.1,,34065,
995,Special 26,"Crime, Drama, Thriller",2013,144,8.0,,56757,1.08
996,Udaan,Drama,2010,134,8.1,,45400,0.01
997,Airlift,"Action, Drama, History",2016,130,7.9,,57373,
998,Andaz Apna Apna,"Action, Comedy, Romance",1994,160,8.0,,53703,
999,Paan Singh Tomar,"Action, Biography, Crime",2012,135,8.2,,36628,0.04
